Date,Open,High,Low,Close,Adj Close,Volume,Symbol
2023-08-15,4.880000114440918,4.900000095367432,4.800000190734863,4.880000114440918,4.880000114440918,2575400,A5.BK
2023-08-16,4.840000152587891,4.920000076293945,4.820000171661377,4.880000114440918,4.880000114440918,3631100,A5.BK
2023-08-17,4.860000133514404,4.960000038146973,4.820000171661377,4.940000057220459,4.940000057220459,4406800,A5.BK
2023-08-18,4.940000057220459,4.960000038146973,4.800000190734863,4.860000133514404,4.860000133514404,2726000,A5.BK
2023-08-21,4.860000133514404,4.880000114440918,4.800000190734863,4.860000133514404,4.860000133514404,1350800,A5.BK
2023-08-22,4.880000114440918,4.900000095367432,4.840000152587891,4.880000114440918,4.880000114440918,1585500,A5.BK
2023-08-23,4.880000114440918,4.900000095367432,4.820000171661377,4.840000152587891,4.840000152587891,1119500,A5.BK
2023-08-24,4.840000152587891,5.199999809265137,4.820000171661377,5.099999904632568,5.099999904632568,8915800,A5.BK
2023-08-25,5.199999809265137,5.199999809265137,5.099999904632568,5.199999809265137,5.199999809265137,2380700,A5.BK
2023-08-28,5.150000095367432,5.150000095367432,5.0,5.099999904632568,5.099999904632568,2614500,A5.BK
2023-08-29,5.150000095367432,5.150000095367432,5.0,5.050000190734863,5.050000190734863,1460300,A5.BK
2023-08-30,5.0,5.099999904632568,5.0,5.0,5.0,1751700,A5.BK
2023-08-31,5.050000190734863,5.150000095367432,5.0,5.099999904632568,5.099999904632568,18367100,A5.BK
2023-09-01,5.099999904632568,5.300000190734863,4.980000019073486,5.099999904632568,5.099999904632568,8839400,A5.BK
2023-09-04,5.099999904632568,5.099999904632568,4.78000020980835,4.840000152587891,4.840000152587891,8492400,A5.BK
2023-09-05,4.800000190734863,4.920000076293945,4.800000190734863,4.900000095367432,4.900000095367432,1480600,A5.BK
2023-09-06,4.960000038146973,4.960000038146973,4.800000190734863,4.840000152587891,4.840000152587891,1540800,A5.BK
2023-09-07,4.880000114440918,4.900000095367432,4.860000133514404,4.880000114440918,4.880000114440918,623700,A5.BK
2023-09-08,4.860000133514404,4.900000095367432,4.860000133514404,4.900000095367432,4.900000095367432,703600,A5.BK
2023-09-11,4.880000114440918,4.900000095367432,4.699999809265137,4.739999771118164,4.739999771118164,2632200,A5.BK
2023-09-12,4.739999771118164,4.900000095367432,4.71999979019165,4.880000114440918,4.880000114440918,3332900,A5.BK
2023-09-13,4.880000114440918,4.880000114440918,4.619999885559082,4.71999979019165,4.71999979019165,2574100,A5.BK
2023-09-14,4.699999809265137,4.760000228881836,4.679999828338623,4.739999771118164,4.739999771118164,684300,A5.BK
2023-09-15,4.71999979019165,4.760000228881836,4.699999809265137,4.699999809265137,4.699999809265137,429800,A5.BK
